Date,Close,High,Low,Open,Volume,Returns,Volatility,MA20,KMeans_Regime,HMM_Regime,Position,Strategy_Return,Cumulative_Market,Cumulative_Strategy
2021-03-09,54824.1171875,54824.1171875,51981.83203125,52272.96875,50912227385,0.049335220420617,0.04778605887054604,50596.5484375,0,2,0,,1.049335220420617,
2021-03-10,56008.55078125,57258.25390625,53290.890625,54824.01171875,57295577614,0.021604243798385436,0.04785174404804641,50812.9861328125,0,2,0,0.0,1.0720053143488166,1.0
2021-03-11,57805.12109375,58091.0625,54484.59375,55963.1796875,56772343595,0.032076714848716215,0.044890119003933596,50908.835546875,0,2,0,0.0,1.106391723133492,1.0
2021-03-12,57332.08984375,57996.62109375,55376.6484375,57821.21875,55689944702,-0.008183206626845796,0.04495393134753191,50970.4640625,1,2,0,-0.0,1.0973378910528588,1.0
2021-03-13,61243.0859375,61683.86328125,56217.97265625,57343.37109375,60669829814,0.06821652767950437,0.04708636935177735,51155.62109375,0,2,0,0.0,1.172194471671635,1.0
2021-03-14,59302.31640625,61597.91796875,59302.31640625,61221.1328125,43901225564,-0.031689610370558396,0.045607853015474445,51410.3708984375,2,2,0,-0.0,1.1350480855858385,1.0
2021-03-15,55907.19921875,60540.9921875,55393.1640625,59267.4296875,66419369890,-0.05725100456855314,0.04128721545672973,51764.5095703125,2,2,0,-0.0,1.070065442452436,1.0
2021-03-16,56804.90234375,56833.1796875,53555.02734375,55840.78515625,59749798599,0.01605702194966918,0.04126315050540093,52119.4880859375,1,2,0,0.0,1.0872475067494773,1.0
2021-03-17,58870.89453125,58969.81640625,54528.62890625,56825.828125,60258313191,0.036369962842253134,0.039192437170919,52708.340234375,0,2,0,0.0,1.1267906581702882,1.0
2021-03-18,57858.921875,60116.25,54253.578125,58893.078125,55746041000,-0.017189693893861602,0.03923748359006248,53284.2982421875,1,2,0,-0.0,1.1074214716738782,1.0
2021-03-19,58346.65234375,59498.375,56643.703125,57850.44140625,49063873786,0.008429650137686817,0.039086744221642336,53892.208203125,1,2,0,0.0,1.1167566472350512,1.0
2021-03-20,58313.64453125,60031.28515625,58213.296875,58332.26171875,50361731222,-0.0005657190459794625,0.03834259879341934,54551.001953125,1,2,0,-0.0,1.116124876729986,1.0
2021-03-21,57523.421875,58767.8984375,56005.6171875,58309.9140625,51943414539,-0.013551247955811196,0.032957165712617455,54945.6109375,1,2,0,-0.0,1.100999991775769,1.0
2021-03-22,54529.14453125,58471.48046875,54288.15625,57517.890625,56521454974,-0.05205318540083803,0.0348674925290207,55253.11875,2,2,0,-0.0,1.0436894350775436,1.0
2021-03-23,54738.9453125,55985.44140625,53470.6953125,54511.66015625,56435023914,0.0038474981233158623,0.033697801619399025,55463.15390625,1,1,0,0.0,1.047705028220329,1.0
2021-03-24,52774.265625,57262.3828125,52514.33203125,54710.48828125,70567223787,-0.035891807492523076,0.033484705047729074,55673.8087890625,2,1,0,-0.0,1.0101010010384965,1.0
2021-03-25,51704.16015625,53392.38671875,50856.5703125,52726.74609375,67999812841,-0.020277031922222966,0.03393523948979617,55812.6515625,1,1,0,-0.0,0.9896191507957696,1.0
2021-03-26,55137.3125,55137.3125,51579.85546875,51683.01171875,56652197978,0.06639992475218648,0.036724617441756285,56123.898046875,0,1,0,0.0,1.0553297879419314,1.0
2021-03-27,55973.51171875,56568.21484375,54242.91015625,55137.56640625,47266542233,0.015165759461888806,0.03556053835887558,56362.2390625,1,1,0,0.0,1.071334665658825,1.0
2021-03-28,55950.74609375,56610.3125,55071.11328125,55974.94140625,47686580918,-0.0004067213991215679,0.03539429869218541,56547.4501953125,1,1,0,-0.0,1.0708989309246808,1.0
